PMID,AuthorN,AuthorForename,AuthorLastname,AuthorInitials,AuthorAffiliation
11423558,1,Riqiang,Yan,R,"Department of Cell and Molecular Biology, Pharmacia Corporation, Kalamazoo, Michigan 49007, USA. ryan@pharmacia.com"
11423558,2,J B,Munzner,JB,
11423558,3,M E,Shuck,ME,
11423558,4,M J,Bienkowski,MJ,
11435901,1,P,Nowotny,P,"Department of Psychiatry (B8134), Washington University School of Medicine, 660 S. Euclid, St. Louis, MO 63110-1093, USA."
11435901,2,J M,Kwon,JM,
11435901,3,S,Chakraverty,S,
11435901,4,V,Nowotny,V,
11435901,5,J C,Morris,JC,
11435901,6,A M,Goate,AM,
11466313,1,Riqiang,Yan,R,"Department of Cell & Molecular Biology, Pharmacia Corporation, Kalamazoo, Michigan 49007, USA. ryan@pharmacia.com"
11466313,2,P,Han,P,
11466313,3,H,Miao,H,
11466313,4,P,Greengard,P,
11466313,5,H,Xu,H,
11525745,1,D R,Riddell,DR,"Neurology Centre of Excellence for Drug Discovery, GlaxoSmithKline, New Frontiers Science Park, Third Avenue, Harlow CM19 5AW, United Kingdom."
11525745,2,G,Christie,G,
11525745,3,I,Hussain,I,
11525745,4,C,Dingwall,C,
11698669,1,S,Kitazume,S,"Glyco-chain Functions Laboratory, Supra-biomolecular System Group, Frontier Research System, The Institute of Physical and Chemical Research (RIKEN), 2-1 Hirosawa, Wako-shi, Saitama 351-0198, Japan."
11698669,2,Y,Tachida,Y,
11698669,3,R,Oka,R,
11698669,4,K,Shirotani,K,
11698669,5,T C,Saido,TC,
11698669,6,Y,Hashimoto,Y,
11747923,1,G,Vattemi,G,
11747923,2,W K,Engel,WK,
11747923,3,J,McFerrin,J,
11747923,4,J D,Buxbaum,JD,
11747923,5,L,Pastorino,L,
11747923,6,V,Askanas,V,
11816789,1,Robert,Vassar,R,"Northwestern University Medical School, Department of Cell and Molecular Biology, Chicago, IL 60611, USA. r-vassar@northwestern.edu"
